,imf_region,CountryCode,economic_freedom,gni_per_capita,human_development,life_expectancy,average_years_school,political_regime
146,LowIncomeAfrica,TGO,5.784202354,1453.43224683177,0.503,61.042,4.8,-2.0
147,LowIncomeAfrica,TZA,6.930080247999999,3026.3816204041045,0.5379999999999999,65.456,5.8,3.0
148,LowIncomeAfrica,UGA,7.43850886,1657.9763337832599,0.516,63.368,6.1,-1.0
149,LowIncomeAfrica,ZMB,6.603235047,3026.3816204041045,0.588,63.886,7.0,7.0
150,LowIncomeAfrica,ZWE,6.07711626,1682.8392991761402,0.535,61.49,8.2,4.0
151,LowIncomeAsia,BGD,6.320027985,3676.92337829736,0.608,72.59100000000002,5.8,1.0
152,LowIncomeAsia,JOR,7.469710428,8288.46284500668,0.735,74.52600000000002,10.4,-3.0
153,LowIncomeAsia,KHM,7.187433978,3412.93743068216,0.5820000000000001,69.82300000000001,4.8,2.0
154,LowIncomeAsia,LAO,6.897792969,6070.1156297859,0.601,67.923,5.2,-7.0
155,LowIncomeAsia,MMR,5.41638899,5753.6502077676705,0.578,67.134,4.9,1.6666666666666667
156,LowIncomeAsia,MNG,7.395856246,10103.0502339939,0.741,69.87,10.1,10.0
157,LowIncomeAsia,NPL,6.527727586,2470.98802064738,0.574,70.778,4.9,6.0
158,LowIncomeAsia,PNG,6.268588715,5753.6502077676705,0.544,64.501,4.6,5.0
159,LowIncomeAsia,PSE,6.6461389104,5055.08617311265,0.6859999999999999,74.053,9.1,1.6666666666666667
160,LowIncomeAsia,TLS,6.561040228,6846.39004535452,0.625,69.495,4.5,8.0
161,LowIncomeAsia,VNM,6.416821979,5858.89811302848,0.6940000000000001,75.4,8.2,-7.0
162,LowIncomeLatinAmerica,BLZ,6.861622623,7165.809919696158,0.708,74.623,10.5,7.0
163,LowIncomeLatinAmerica,GTM,7.623024421,7278.142302948991,0.65,74.30199999999998,6.5,8.0
164,LowIncomeLatinAmerica,GUY,6.319215572999999,5391.6886472758915,0.654,69.906,8.4,7.0
165,LowIncomeLatinAmerica,HND,7.053142395,4215.2938028649605,0.617,75.27,6.5,7.0
166,LowIncomeLatinAmerica,HTI,6.540483644,1665.46259614201,0.498,64.001,5.3,0.0
167,LowIncomeLatinAmerica,NIC,7.2770707639999985,5157.31565563182,0.6579999999999999,74.485,6.7,9.0
168,LowIncomeLatinAmerica,SLV,7.1333970089999985,6868.10760637141,0.674,73.317,6.9,8.0
169,LowIncomeLatinAmerica,TTO,6.741669083,5391.6886472758915,0.784,73.507,10.9,10.0
170,LowIncomeOthers,AFG,6.368325507,6432.495297563175,0.498,64.833,3.8,-1.0
171,LowIncomeOthers,ALB,7.538571065,11885.508136853501,0.785,78.57300000000002,10.0,9.0
172,LowIncomeOthers,KGZ,6.928605537999999,3255.238582880281,0.672,71.45,10.9,7.0
173,LowIncomeOthers,MDA,6.629613844,6432.495297563175,0.7,71.90100000000002,11.6,9.0
174,LowIncomeOthers,SDN,5.36,4119.15184879187,0.502,65.311,3.7,0.8888888888888888
175,LowIncomeOthers,SOM,6.368325507,6432.495297563175,0.6116666666666667,57.397,7.777777777777778,5.0
176,LowIncomeOthers,SYR,5.034062658,6432.495297563175,0.536,72.697,5.1,-9.0
177,LowIncomeOthers,TJK,6.716732564,6432.495297563175,0.65,71.097,10.4,-3.0
178,LowIncomeOthers,UZB,6.368325507,6470.08262172705,0.71,71.725,11.5,-9.0
179,LowIncomeOthers,YEM,6.37069288,6432.495297563175,0.452,66.125,3.0,0.0
180,Others,BTN,7.036470399,8064.8276512293505,0.612,71.777,3.1,5.0
181,Others,RKS,7.036470399,8064.8276512293505,0.612,71.777,3.1,5.0
